Date,EmpID,Movement
2018-08-07,1892,Joiner
2018-08-07,2911,Joiner
2018-08-07,3248,Joiner
2018-08-07,3290,Joiner
2018-08-08,1352,Joiner
2018-08-08,2168,Joiner
2018-08-10,1139,Joiner
2018-08-10,1337,Joiner
2018-08-10,3028,Joiner
2018-08-10,3438,Joiner
2018-08-10,3872,Joiner
2018-08-11,3551,Joiner
2018-08-11,3820,Joiner
2018-08-11,3960,Joiner
2018-08-12,2228,Joiner
2018-08-12,3240,Joiner
2018-08-13,2811,Joiner
2018-08-14,1841,Joiner
2018-08-16,1260,Joiner
2018-08-18,2747,Joiner
2018-08-18,3435,Joiner
2018-08-19,2712,Joiner
2018-08-19,3012,Joiner
2018-08-22,2197,Joiner
2018-08-22,2766,Joiner
2018-08-23,3159,Joiner
2018-08-24,2457,Joiner
2018-08-24,3739,Joiner
2018-08-25,3393,Joiner
2018-08-26,2759,Joiner
2018-08-26,3867,Joiner
2018-08-27,1883,Joiner
2018-08-27,2612,Joiner
2018-08-27,3977,Joiner
2018-08-28,1065,Joiner
2018-08-28,1667,Joiner
2018-08-29,1400,Joiner
2018-08-29,3484,Joiner
2018-08-29,3676,Joiner
2018-08-30,2925,Joiner
2018-09-01,2482,Joiner
2018-09-02,1143,Joiner
2018-09-02,2038,Joiner
2018-09-03,2995,Joiner
2018-09-04,1695,Joiner
2018-09-04,3218,Joiner
2018-09-05,1506,Joiner
2018-09-05,2460,Joiner
2018-09-06,1250,Joiner
2018-09-07,1357,Joiner
2018-09-07,2353,Joiner
2018-09-08,1055,Joiner
2018-09-08,1126,Joiner
2018-09-08,1203,Joiner
2018-09-08,3878,Joiner
2018-09-09,3794,Joiner
2018-09-10,2247,Joiner
2018-09-11,2156,Joiner
2018-09-11,2515,Joiner
2018-09-12,1609,Joiner
2018-09-12,1770,Joiner
2018-09-12,2136,Joiner
2018-09-12,3047,Joiner
2018-09-13,2375,Joiner
2018-09-13,2636,Joiner
2018-09-13,2946,Joiner
2018-09-13,3462,Joiner
2018-09-14,2621,Joiner
2018-09-14,2950,Joiner
2018-09-14,3534,Joiner
2018-09-14,3831,Joiner
2018-09-15,1971,Joiner
2018-09-17,3478,Joiner
2018-09-18,2600,Joiner
2018-09-19,1550,Joiner
2018-09-19,2397,Joiner
2018-09-20,1545,Joiner
2018-09-20,1700,Joiner
2018-09-20,3695,Joiner
2018-09-21,2208,Joiner
2018-09-21,3973,Joiner
2018-09-22,2921,Joiner
2018-09-22,3373,Joiner
2018-09-24,2286,Joiner
2018-09-25,1251,Joiner
2018-09-25,3499,Joiner
2018-09-26,1418,Joiner
2018-09-26,1515,Joiner
2018-09-26,2078,Joiner
2018-09-27,1442,Joiner
2018-09-27,3001,Joiner
2018-09-28,1246,Joiner
2018-09-28,1711,Joiner
2018-09-28,2249,Joiner
2018-09-28,3143,Joiner
2018-09-28,3598,Joiner
2018-09-29,2141,Joiner
2018-09-30,3114,Joiner
2018-10-01,1616,Joiner
2018-10-02,2834,Joiner
2018-10-02,2849,Joiner
2018-10-02,2906,Joiner
2018-10-03,1703,Joiner
2018-10-03,2283,Joiner
2018-10-04,1705,Joiner
2018-10-05,2120,Joiner
2018-10-06,1775,Joiner
2018-10-06,2861,Joiner
2018-10-10,1060,Joiner
2018-10-10,2338,Joiner
2018-10-10,2423,Joiner
2018-10-10,3022,Joiner
2018-10-11,1961,Joiner
2018-10-11,3610,Joiner
2018-10-12,2002,Joiner
2018-10-12,3886,Joiner
2018-10-13,1069,Joiner
2018-10-13,1494,Joiner
2018-10-13,2341,Joiner
2018-10-13,3315,Joiner
2018-10-14,2982,Joiner
2018-10-15,3549,Joiner
2018-10-16,1636,Joiner
2018-10-19,3966,Joiner
2018-10-20,3109,Joiner
2018-10-21,2901,Joiner
2018-10-22,1633,Joiner
2018-10-22,3877,Joiner
2018-10-23,1793,Joiner
2018-10-25,2054,Joiner
2018-10-25,2062,Joiner
2018-10-27,1292,Joiner
2018-10-27,1737,Joiner
2018-10-27,2751,Joiner
2018-10-28,2999,Joiner
2018-10-30,2075,Joiner
2018-10-30,2099,Joiner
2018-10-31,2656,Joiner
2018-10-31,3265,Joiner
2018-11-01,1404,Joiner
2018-11-03,1960,Joiner
2018-11-03,2180,Joiner
2018-11-03,2400,Joiner
2018-11-04,2705,Joiner
2018-11-04,3941,Joiner
2018-11-04,3942,Joiner
2018-11-05,1211,Joiner
2018-11-06,1600,Joiner
2018-11-06,1653,Joiner
2018-11-07,2288,Joiner
2018-11-07,2666,Joiner
2018-11-08,1358,Joiner
2018-11-08,2769,Joiner
2018-11-09,1023,Joiner
2018-11-09,1987,Joiner
2018-11-10,3356,Joiner
2018-11-10,3382,Joiner
2018-11-11,1685,Joiner
2018-11-13,2406,Joiner
2018-11-14,1982,Joiner
2018-11-14,2548,Joiner
2018-11-14,2703,Joiner
2018-11-14,3470,Joiner
2018-11-15,2650,Joiner
2018-11-15,2749,Joiner
2018-11-16,1091,Joiner
2018-11-16,2366,Joiner
2018-11-17,1155,Joiner
2018-11-17,2430,Joiner
2018-11-17,3213,Joiner
2018-11-18,2508,Joiner
2018-11-19,2749,Leaver
2018-11-19,3737,Joiner
2018-11-20,1220,Joiner
2018-11-20,3500,Joiner
2018-11-21,1477,Joiner
2018-11-22,1158,Joiner
2018-11-22,3199,Joiner
2018-11-23,1457,Joiner
2018-11-23,1597,Joiner
2018-11-23,1988,Joiner
2018-11-25,1236,Joiner
2018-11-25,1662,Joiner
2018-11-25,1879,Joiner
2018-11-25,2230,Joiner
2018-11-27,2808,Joiner
2018-11-28,3196,Joiner
2018-11-28,3621,Joiner
2018-11-29,1611,Joiner
2018-11-29,2365,Joiner
2018-11-29,2995,Leaver
2018-11-29,3603,Joiner
2018-11-30,1743,Joiner
2018-12-01,2593,Joiner
2018-12-01,3312,Joiner
2018-12-03,1015,Joiner
2018-12-03,3464,Joiner
2018-12-03,3967,Joiner
2018-12-04,2280,Joiner
2018-12-04,3238,Joiner
2018-12-05,2240,Joiner
2018-12-05,2393,Joiner
2018-12-06,2097,Joiner
2018-12-06,2463,Joiner
2018-12-06,3134,Joiner
2018-12-06,3249,Joiner
2018-12-07,1750,Joiner
2018-12-08,1405,Joiner
2018-12-08,1830,Joiner
2018-12-09,3137,Joiner
2018-12-10,2729,Joiner
2018-12-10,3429,Joiner
2018-12-11,3535,Joiner
2018-12-11,3594,Joiner
2018-12-12,1557,Joiner
2018-12-12,1712,Joiner
2018-12-12,2061,Joiner
2018-12-12,2481,Joiner
2018-12-13,1185,Joiner
2018-12-13,2183,Joiner
2018-12-13,2706,Joiner
2018-12-13,3111,Joiner
2018-12-13,3176,Joiner
2018-12-14,2386,Joiner
2018-12-14,3898,Joiner
2018-12-15,1070,Joiner
2018-12-15,1628,Joiner
2018-12-16,3146,Joiner
2018-12-17,1636,Leaver
2018-12-17,1805,Joiner
2018-12-17,3838,Joiner
2018-12-18,2297,Joiner
2018-12-18,3410,Joiner
2018-12-20,1175,Joiner
2018-12-20,2604,Joiner
2018-12-20,2758,Joiner
2018-12-20,2879,Joiner
2018-12-21,2005,Joiner
2018-12-22,2545,Joiner
2018-12-22,2669,Joiner
2018-12-22,2918,Joiner
2018-12-23,2236,Joiner
2018-12-23,2968,Joiner
2018-12-25,1060,Leaver
2018-12-25,1320,Joiner
2018-12-25,1397,Joiner
2018-12-25,3922,Joiner
2018-12-25,3974,Joiner
2018-12-27,1072,Joiner
2018-12-27,1468,Joiner
2018-12-28,1206,Joiner
2018-12-28,1772,Joiner
2018-12-29,2089,Joiner
2018-12-29,2786,Joiner
2018-12-30,1024,Joiner
2018-12-30,1434,Joiner
2018-12-30,2167,Joiner
2018-12-30,3558,Joiner
2018-12-31,1218,Joiner
2019-01-01,1619,Joiner
2019-01-01,3314,Joiner
2019-01-01,3563,Joiner
2019-01-02,1755,Joiner
2019-01-02,2302,Joiner
2019-01-02,2691,Joiner
2019-01-02,3835,Joiner
2019-01-03,1758,Joiner
2019-01-03,1935,Joiner
2019-01-04,1401,Joiner
2019-01-04,2950,Leaver
2019-01-05,1910,Joiner
2019-01-05,3124,Joiner
2019-01-07,3296,Joiner
2019-01-07,3814,Joiner
2019-01-09,2647,Joiner
2019-01-09,3478,Leaver
2019-01-11,1390,Joiner
2019-01-12,3292,Joiner
2019-01-13,1782,Joiner
2019-01-13,2706,Leaver
2019-01-13,3128,Joiner
2019-01-14,1194,Joiner
2019-01-14,1327,Joiner
2019-01-14,3672,Joiner
2019-01-15,3023,Joiner
2019-01-16,3604,Joiner
2019-01-18,1480,Joiner
2019-01-18,3851,Joiner
2019-01-19,1394,Joiner
2019-01-19,1734,Joiner
2019-01-20,1316,Joiner
2019-01-20,3217,Joiner
2019-01-20,3226,Joiner
2019-01-20,3366,Joiner
2019-01-22,1198,Joiner
2019-01-23,3279,Joiner
2019-01-24,1108,Joiner
